NAME_1,NAME_3,region,commune,commune_edited
Boucle du Mouhoun,Bagassi,BOUCLE DU MOUHOUN,BAGASSI,BAGASSI
Boucle du Mouhoun,Balavé,BOUCLE DU MOUHOUN,BALAVE,BALAVE
Boucle du Mouhoun,Bana,BOUCLE DU MOUHOUN,BANA,BANA
Boucle du Mouhoun,Barani,BOUCLE DU MOUHOUN,BARANI,BARANI
Boucle du Mouhoun,Bomborokuy,BOUCLE DU MOUHOUN,BOMBOROKUY,BOMBOROKUY
Boucle du Mouhoun,Bondokuy,BOUCLE DU MOUHOUN,BONDOKUY,BONDOKUY
Boucle du Mouhoun,Boromo,BOUCLE DU MOUHOUN,BOROMO,BOROMO
Boucle du Mouhoun,Bourasso,BOUCLE DU MOUHOUN,BOURASSO,BOURASSO
Boucle du Mouhoun,Dedougou,BOUCLE DU MOUHOUN,DEDOUGOU,DEDOUGOU
Boucle du Mouhoun,Di,BOUCLE DU MOUHOUN,DI,DI
Boucle du Mouhoun,Djibasso,BOUCLE DU MOUHOUN,DJIBASSO,DJIBASSO
Boucle du Mouhoun,Dokuy,BOUCLE DU MOUHOUN,DOKUY,DOKUY
Boucle du Mouhoun,Doumbala,BOUCLE DU MOUHOUN,DOUMBALA,DOUMBALA
Boucle du Mouhoun,Douroula,BOUCLE DU MOUHOUN,DOUROULA,DOUROULA
Boucle du Mouhoun,Fara,BOUCLE DU MOUHOUN,FARA,FARA
Boucle du Mouhoun,Gassan,BOUCLE DU MOUHOUN,GASSAN,GASSAN
Boucle du Mouhoun,Gomboro,BOUCLE DU MOUHOUN,GOMBORO,GOMBORO
Boucle du Mouhoun,Gossina,BOUCLE DU MOUHOUN,GOSSINA,GOSSINA
Boucle du Mouhoun,Kassoum,BOUCLE DU MOUHOUN,KASSOUM,KASSOUM
Boucle du Mouhoun,Kiembara,BOUCLE DU MOUHOUN,KIEMBARA,KIEMBARA
Boucle du Mouhoun,Kombori,BOUCLE DU MOUHOUN,KOMBORI,KOMBORI
Boucle du Mouhoun,Kona,BOUCLE DU MOUHOUN,KONA,KONA
Boucle du Mouhoun,Kougny,BOUCLE DU MOUHOUN,KOUGNY,KOUGNY
Boucle du Mouhoun,Kouka,BOUCLE DU MOUHOUN,KOUKA,KOUKA
Boucle du Mouhoun,Lanfièra,BOUCLE DU MOUHOUN,LANFIERA,LANFIERA
Boucle du Mouhoun,Lankouè,BOUCLE DU MOUHOUN,LANKOUE,LANKOUE
Boucle du Mouhoun,Madouba,BOUCLE DU MOUHOUN,MADOUBA,MADOUBA
Boucle du Mouhoun,Nouna,BOUCLE DU MOUHOUN,NOUNA,NOUNA
Boucle du Mouhoun,Ouarkoye,BOUCLE DU MOUHOUN,OUARKOYE,OUARKOYE
Boucle du Mouhoun,Oury,BOUCLE DU MOUHOUN,OURY,OURY
Boucle du Mouhoun,Pa,BOUCLE DU MOUHOUN,PA,PA
Boucle du Mouhoun,Pompoï,BOUCLE DU MOUHOUN,POMPOI,POMPOI
Boucle du Mouhoun,Poura,BOUCLE DU MOUHOUN,POURA,POURA
Boucle du Mouhoun,Safane,BOUCLE DU MOUHOUN,SAFANE,SAFANE
Boucle du Mouhoun,Sami,BOUCLE DU MOUHOUN,SAMI,SAMI
Boucle du Mouhoun,Sanaba,BOUCLE DU MOUHOUN,SANABA,SANABA
Boucle du Mouhoun,Siby,BOUCLE DU MOUHOUN,SIBY,SIBY
Boucle du Mouhoun,Solenzo,BOUCLE DU MOUHOUN,SOLENZO,SOLENZO
Boucle du Mouhoun,Sono,BOUCLE DU MOUHOUN,SONO,SONO
Boucle du Mouhoun,Tansila,BOUCLE DU MOUHOUN,TANSILA,TANSILA
Boucle du Mouhoun,Tchériba,BOUCLE DU MOUHOUN,TCHERIBA,TCHERIBA
Boucle du Mouhoun,Toeni,BOUCLE DU MOUHOUN,TOENI,TOENI
Boucle du Mouhoun,Toma,BOUCLE DU MOUHOUN,TOMA,TOMA
Boucle du Mouhoun,Tougan,BOUCLE DU MOUHOUN,TOUGAN,TOUGAN
Boucle du Mouhoun,Yaba,BOUCLE DU MOUHOUN,YABA,YABA
Boucle du Mouhoun,Yaho,BOUCLE DU MOUHOUN,YAHO,YAHO
Boucle du Mouhoun,Ye,BOUCLE DU MOUHOUN,YE,YE
Cascades,Banfora,CASCADES,BANFORA,BANFORA
Cascades,Beregadougou,CASCADES,BEREGADOUGOU,BEREGADOUGOU
Cascades,Dakoro,CASCADES,DAKORO,DAKORO
Cascades,Douna,CASCADES,DOUNA,DOUNA
Cascades,Kankalaba,CASCADES,KANKALABA,KANKALABA
Cascades,Loumana,CASCADES,LOUMANA,LOUMANA
Cascades,Mangodara,CASCADES,MANGODARA,MANGODARA
Cascades,Moussodougou,CASCADES,MOUSSODOUGOU,MOUSSODOUGOU
Cascades,Niangoloko,CASCADES,NIANGOLOKO,NIANGOLOKO
Cascades,Niankorodougou,CASCADES,NIANKORODOUGOU,NIANKORODOUGOU
Cascades,Oueleni,CASCADES,OUELENI,OUELENI
Cascades,Ouo,CASCADES,OUO,OUO
Cascades,Sidéradougou,CASCADES,SIDERADOUGOU,SIDERADOUGOU
Cascades,Sindou,CASCADES,SINDOU,SINDOU
Cascades,Soubakaniédougou,CASCADES,SOUBAKANIEDOUGOU,SOUBAKANIE-DOUGOU
Cascades,Tiéfora,CASCADES,TIEFORA,TIEFORA
Cascades,Wolonkoto,CASCADES,WOLONKOTO,WOLONKOTO
Centre,Komki-Ipala,CENTRE,KOMKI-IPALA,KOMKI-IPALA
Centre,Komsilga,CENTRE,KOMSILGA,KOMSILGA
Centre,Koubri,CENTRE,KOUBRI,KOUBRI
Centre,Pabre,CENTRE,PABRE,PABRE
Centre,Saaba,CENTRE,SAABA,SAABA
Centre,Tanghin-Dassouri,CENTRE,TANGHIN-DASSOURI,TANGHIN-DASSOURI
Centre-Est,Andemtenga,CENTRE-EST,ANDEMTENGA,ANDEMTENGA
Centre-Est,Bagre,CENTRE-EST,BAGRE,BAGRE
Centre-Est,Bane,CENTRE-EST,BANE,BANE
Centre-Est,Baskouré,CENTRE-EST,BASKOURE,BASKOURE
Centre-Est,Beguedo,CENTRE-EST,BEGUEDO,BEGUEDO
Centre-Est,Bissiga,CENTRE-EST,BISSIGA,BISSIGA
Centre-Est,Bittou,CENTRE-EST,BITTOU,BITTOU
Centre-Est,Boussouma,CENTRE-EST,BOUSSOUMA GARANGO,BOUSSOUMA
Centre-Est,Comin-Yanga,CENTRE-EST,COMIN-YANGA,COMIN-YANGA
Centre-Est,Dialgaye,CENTRE-EST,DIALGAYE,DIALGAYE
Centre-Est,Dourtenga,CENTRE-EST,DOURTENGA,DOURTENGA
Centre-Est,Garango,CENTRE-EST,GARANGO,GARANGO
Centre-Est,Gounghin,CENTRE-EST,GOUNGHIN,GOUNGHIN
Centre-Est,Kando,CENTRE-EST,KANDO,KANDO
Centre-Est,Komtoega,CENTRE-EST,KOMTOEGA,KOMTOEGA
Centre-Est,Koupéla,CENTRE-EST,KOUPELA,KOUPELA
Centre-Est,Lalgaye,CENTRE-EST,LALGAYE,LALGAYE
Centre-Est,Niaogho,CENTRE-EST,NIAOGHO,NIAOGHO
Centre-Est,Ouargaye,CENTRE-EST,OUARGAYE,OUARGAYE
Centre-Est,Pouytenga,CENTRE-EST,POUYTENGA,POUYTENGA
Centre-Est,Sangha,CENTRE-EST,SANGHA,SANGHA
Centre-Est,Soudougui,CENTRE-EST,SOUDOUGUI,SOUDOUGUI
Centre-Est,Tenkodogo,CENTRE-EST,TENKODOGO,TENKODOGO
Centre-Est,Tensobentenga,CENTRE-EST,TENSOBENTENGA,TENSOBENTENGA
Centre-Est,Yargatenga,CENTRE-EST,YARGATENGA,YARGATENGA
Centre-Est,Yargo,CENTRE-EST,YARGO,YARGO
Centre-Est,Yondé,CENTRE-EST,YONDE,YONDE
Centre-Est,Zabré,CENTRE-EST,ZABRE,ZABRE
Centre-Est,Zoaga,CENTRE-EST,ZOAGA,ZOAGA
Centre-Est,Zonsé,CENTRE-EST,ZONSE,ZONSE
Centre-Nord,Barsalogho,CENTRE-NORD,BARSALOGHO,BARSALOGHO
Centre-Nord,Boala,CENTRE-NORD,BOALA,BOALA
Centre-Nord,Boulsa,CENTRE-NORD,BOULSA,BOULSA
Centre-Nord,Bouroum,CENTRE-NORD,BOUROUM,BOUROUM
Centre-Nord,Bourzanga,CENTRE-NORD,BOURZANGA,BOURZANGA
Centre-Nord,Boussouma,CENTRE-NORD,BOUSSOUMA KAYA,BOUSSOUMA
Centre-Nord,Dablo,CENTRE-NORD,DABLO,DABLO
Centre-Nord,Dargo,CENTRE-NORD,DARGO,DARGO
Centre-Nord,Guibare,CENTRE-NORD,GUIBARE,GUIBARE
Centre-Nord,Kaya,CENTRE-NORD,KAYA,KAYA
Centre-Nord,Kongoussi,CENTRE-NORD,KONGOUSSI,KONGOUSSI
Centre-Nord,Korsimoro,CENTRE-NORD,KORSIMORO,KORSIMORO
Centre-Nord,Mane,CENTRE-NORD,MANE,MANE
Centre-Nord,Nagbingou,CENTRE-NORD,NAGBINGOU,NAGBINGOU
Centre-Nord,Namissiguima,CENTRE-NORD,NAMISSIGUIMA,NAMISSIGUIMA
Centre-Nord,Nassere,CENTRE-NORD,NASSERE,NASSERE
Centre-Nord,Pensa,CENTRE-NORD,PENSA,PENSA
Centre-Nord,Pibaore,CENTRE-NORD,PIBAORE,PIBAORE
Centre-Nord,Pissila,CENTRE-NORD,PISSILA,PISSILA
Centre-Nord,Rollo,CENTRE-NORD,ROLLO,ROLLO
Centre-Nord,Rouko,CENTRE-NORD,ROUKO,ROUKO
Centre-Nord,Sabce,CENTRE-NORD,SABCE,SABCE
Centre-Nord,Tikare,CENTRE-NORD,TIKARE,TIKARE
Centre-Nord,Tougouri,CENTRE-NORD,TOUGOURI,TOUGOURI
Centre-Nord,Yalgo,CENTRE-NORD,YALGO,YALGO
Centre-Nord,Zeguedeguin,CENTRE-NORD,ZEGUEDEGUIN,ZEGUEDEGUIN
Centre-Nord,Ziga,CENTRE-NORD,ZIGA,ZIGA
Centre-Nord,Zimtenga,CENTRE-NORD,ZIMTANGA,ZIMTANGA
Centre-Ouest,Bakata,CENTRE-OUEST,BAKATA,BAKATA
Centre-Ouest,Bieha,CENTRE-OUEST,BIEHA,BIEHA
Centre-Ouest,Bingo,CENTRE-OUEST,BINGO,BINGO
Centre-Ouest,Bougnounou,CENTRE-OUEST,BOUGNOUNOU,BOUGNOUNOU
Centre-Ouest,Boura,CENTRE-OUEST,BOURA,BOURA
Centre-Ouest,Cassou,CENTRE-OUEST,CASSOU,CASSOU
Centre-Ouest,Dalo,CENTRE-OUEST,DALO,DALO
Centre-Ouest,Dassa,CENTRE-OUEST,DASSA,DASSA
Centre-Ouest,Didyr,CENTRE-OUEST,DIDYR,DIDYR
Centre-Ouest,Gao,CENTRE-OUEST,GAO,GAO
Centre-Ouest,Godyr,CENTRE-OUEST,GODYR,GODYR
Centre-Ouest,Imasgho,CENTRE-OUEST,IMASGO,IMASGO
Centre-Ouest,Kindi,CENTRE-OUEST,KINDI,KINDI
Centre-Ouest,Kokologho,CENTRE-OUEST,KOKOLOGHO,KOKOLOGHO
Centre-Ouest,Kordie,CENTRE-OUEST,KORDIE,KORDIE
Centre-Ouest,Koudougou,CENTRE-OUEST,KOUDOUGOU,KOUDOUGOU
Centre-Ouest,Kyon,CENTRE-OUEST,KYON,KYON
Centre-Ouest,Leo,CENTRE-OUEST,LEO,LEO
Centre-Ouest,Nandiala,CENTRE-OUEST,NANDIALA,NANDIALA
Centre-Ouest,Nanoro,CENTRE-OUEST,NANORO,NANORO
Centre-Ouest,Nebielianayou,CENTRE-OUEST,NEBIELIANAYOU,NEBIELIANAYOU
Centre-Ouest,Niabouri,CENTRE-OUEST,NIABOURI,NIABOURI
Centre-Ouest,Pella,CENTRE-OUEST,PELLA,PELLA
Centre-Ouest,Poa,CENTRE-OUEST,POA,POA
Centre-Ouest,Pouni,CENTRE-OUEST,POUNI,POUNI
Centre-Ouest,Ramongo,CENTRE-OUEST,RAMONGO,RAMONGO
Centre-Ouest,Réo,CENTRE-OUEST,REO,REO
Centre-Ouest,Sabou,CENTRE-OUEST,SABOU,SABOU
Centre-Ouest,Sapouy,CENTRE-OUEST,SAPOUY,SAPOUY
Centre-Ouest,Sigle,CENTRE-OUEST,SIGLE,SIGLE
Centre-Ouest,Silly,CENTRE-OUEST,SILLY,SILLY
Centre-Ouest,Soaw,CENTRE-OUEST,SOAW,SOAW
Centre-Ouest,Sourgou,CENTRE-OUEST,SOURGOU,SOURGOU
Centre-Ouest,Tenado,CENTRE-OUEST,TENADO,TENADO
Centre-Ouest,Thyou,CENTRE-OUEST,THYOU,THYOU
Centre-Ouest,Tô,CENTRE-OUEST,TO,TO
Centre-Ouest,Zamo,CENTRE-OUEST,ZAMO,ZAMO
Centre-Ouest,Zawara,CENTRE-OUEST,ZAWARA,ZAWARA
Centre-Sud,Bere,CENTRE-SUD,BERE,BERE
Centre-Sud,Binde,CENTRE-SUD,BINDE,BINDE
Centre-Sud,Doulougou,CENTRE-SUD,DOULOUGOU,DOULOUGOU
Centre-Sud,Gaongo,CENTRE-SUD,GAONGO,GAONGO
Centre-Sud,Gogo,CENTRE-SUD,GOGO,GOGO
Centre-Sud,Gomboussougou,CENTRE-SUD,GOMBOUSSOUGOU,GOMBOUSSOUGOU
Centre-Sud,Guiaro,CENTRE-SUD,GUIARO,GUIARO
Centre-Sud,Guiba,CENTRE-SUD,GUIBA,GUIBA
Centre-Sud,Ipelce,CENTRE-SUD,IPELCE,IPELCE
Centre-Sud,Kayao,CENTRE-SUD,KAYAO,KAYAO
Centre-Sud,Kombissiri,CENTRE-SUD,KOMBISSIRI,KOMBISSIRI
Centre-Sud,Manga,CENTRE-SUD,MANGA,MANGA
Centre-Sud,Nobere,CENTRE-SUD,NOBERE,NOBERE
Centre-Sud,Pô,CENTRE-SUD,PO,PO
Centre-Sud,Sapone,CENTRE-SUD,SAPONE,SAPONE
Centre-Sud,Tiébélé,CENTRE-SUD,TIEBELE,TIEBELE
Centre-Sud,Toece,CENTRE-SUD,TOECE,TOECE
Centre-Sud,Zecco,CENTRE-SUD,ZECCO,ZECCO
Centre-Sud,Ziou,CENTRE-SUD,ZIOU,ZIOU
Est,Bartiébougou,EST,BARTIEBOUGOU,BARTIEBOUGOU
Est,Bilanga,EST,BILANGA,BILANGA
Est,Bogandé,EST,BOGANDE,BOGANDE
Est,Botou,EST,BOTOU,BOTOU
Est,Diabo,EST,COALLA,COALLA
Est,Diapaga,EST,DIABO,DIABO
Est,Diapangou,EST,DIAPAGA,DIAPAGA
Est,Fada N'gourma,EST,DIAPANGOU,DIAPANGOU
Est,Foutouri,EST,FADA N'GOURMA,FADA N'GOURMA
Est,Gayéri,EST,FOUTOURI,FOUTOURI
Est,Kantchari,EST,GAYERI,GAYERI
Est,Koalla,EST,KANTCHARI,KANTCHARI
Est,Kompienga,EST,KOMPIENGA,KOMPIENGA
Est,Liptougou,EST,LIPTOUGOU,LIPTOUGOU
Est,Logobou,EST,LOGOBOU,LOGOBOU
Est,Madjoari,EST,MADJOARI,MADJOARI
Est,Mani,EST,MANI,MANI
Est,Matiacoali,EST,MATIACOALI,MATIACOALI
Est,Namounou,EST,NAMOUNOU,NAMOUNOU
Est,Pama,EST,PAMA,PAMA
Est,Partiaga,EST,PARTIAGA,PARTIAGA
Est,Piéla,EST,PIELA,PIELA
Est,Tambaga,EST,TAMBAGA,TAMBAGA
Est,Tansarga,EST,TANSARGA,TANSARGA
Est,Thion,EST,THION,THION
Est,Tibga,EST,TIBGA,TIBGA
Est,Yamba,EST,YAMBA,YAMBA
Haut-Bassins,Bama,HAUTS-BASSINS,BAMA,BAMA
Haut-Bassins,Banzon,HAUTS-BASSINS,BANZON,BANZON
Haut-Bassins,Bekuy,HAUTS-BASSINS,BEKUY,BEKUY
Haut-Bassins,Bereba,HAUTS-BASSINS,BEREBA,BEREBA
Haut-Bassins,Boni,HAUTS-BASSINS,BONI,BONI
Haut-Bassins,Dandé,HAUTS-BASSINS,DANDE,DANDE
Haut-Bassins,Djigouera,HAUTS-BASSINS,DJIGOUERA,DJIGOUERA
Haut-Bassins,Faramana,HAUTS-BASSINS,FARAMANA,FARAMANA
Haut-Bassins,Fo,HAUTS-BASSINS,FO,FO
Haut-Bassins,Founzan,HAUTS-BASSINS,FOUNZAN,FOUNZAN
Haut-Bassins,Houndé,HAUTS-BASSINS,HOUNDE,HOUNDE
Haut-Bassins,Kangala,HAUTS-BASSINS,KANGALA,KANGALA
Haut-Bassins,Karankasso-Sambla,HAUTS-BASSINS,KARANKASSO-SAMBLA,KARANKASSO-SAMBLA
Haut-Bassins,Karankasso-Vigué,HAUTS-BASSINS,KARANKASSO-VIGUE,KARANKASSO-VIGUE
Haut-Bassins,Kayan,HAUTS-BASSINS,KAYAN,KAYAN
Haut-Bassins,Koloko,HAUTS-BASSINS,KOLOKO,KOLOKO
Haut-Bassins,Koti,HAUTS-BASSINS,KOTI,KOTI
Haut-Bassins,Koumbia,HAUTS-BASSINS,KOUMBIA,KOUMBIA
Haut-Bassins,Koundougou,HAUTS-BASSINS,KOUNDOUGOU,KOUNDOUGOU
Haut-Bassins,Kourinion,HAUTS-BASSINS,KOURINION,KOURINION
Haut-Bassins,Kourouma,HAUTS-BASSINS,KOUROUMA,KOUROUMA
Haut-Bassins,Lena,HAUTS-BASSINS,LENA,LENA
Haut-Bassins,Morolaba,HAUTS-BASSINS,MOROLABA,MOROLABA
Haut-Bassins,N'dorola,HAUTS-BASSINS,N'DOROLA,N'DOROLA
Haut-Bassins,Orodara,HAUTS-BASSINS,ORODARA,ORODARA
Haut-Bassins,Padéma,HAUTS-BASSINS,PADEMA,PADEMA
Haut-Bassins,Peni,HAUTS-BASSINS,PENI,PENI
Haut-Bassins,Samogohiri,HAUTS-BASSINS,SAMOGOHIRI,SAMOGOHIRI
Haut-Bassins,Samorogouan,HAUTS-BASSINS,SAMOROGOUAN,SAMOROGOUAN
Haut-Bassins,Satiri,HAUTS-BASSINS,SATIRI,SATIRI
Haut-Bassins,Sindo,HAUTS-BASSINS,SINDO,SINDO
Haut-Bassins,Toussiana,HAUTS-BASSINS,TOUSSIANA,TOUSSIANA
Nord,Arbolle,NORD,ARBOLE,ARBOLE
Nord,Bagare,NORD,BAGARE,BAGARE
Nord,Banh,NORD,BANH,BANH
Nord,Barga,NORD,BARGA,BARGA
Nord,Bassi,NORD,BASSI,BASSI
Nord,Bokin,NORD,BOKIN,BOKIN
Nord,Boussou,NORD,BOUSSOU,BOUSSOU
Nord,Gomponsom,NORD,GOMPONSOM,GOMPONSOM
Nord,Gourcy,NORD,GOURCY,GOURCY
Nord,Kaïn,NORD,KAIN,KAIN
Nord,Kalsaka,NORD,KALSAKA,KALSAKA
Nord,Kirsi,NORD,KIRSI,KIRSI
Nord,Kossouka,NORD,KOSSOUKA,KOSSOUKA
Nord,Koumbri,NORD,KOUMBRI,KOUMBRI
Nord,Lâ-Todin,NORD,LA-TODIN,LA-TODIN
Nord,Léba,NORD,LEBA,LEBA
Nord,Namissiguima,NORD,NAMISSIGUIMA OUAHIGOUYA,NAMISSIGUIMA OUAHIGOUYA
Nord,Ouahigouya,NORD,OUAHIGOUYA,OUAHIGOUYA
Nord,Ouindigui,NORD,OUINDIGUI,OUINDIGUI
Nord,Oula,NORD,OULA,OULA
Nord,Pilimpikou,NORD,PILIMPIKOU,PILIMPIKOU
Nord,Rambo,NORD,RAMBO,RAMBO
Nord,Samba,NORD,SAMBA,SAMBA
Nord,Seguenega,NORD,SEGUENEGA,SEGUENEGA
Nord,Solle,NORD,SOLLE,SOLLE
Nord,Tangaye,NORD,TANGAYE,TANGAYE
Nord,Thiou,NORD,THIOU,THIOU
Nord,Titao,NORD,TITAO,TITAO
Nord,Tougo,NORD,TOUGO,TOUGO
Nord,Yako,NORD,YAKO,YAKO
Nord,Zogore,NORD,ZOGORE,ZOGORE
Plateau-Central,Absouya,PLATEAU CENTRAL,ABSOUYA,ABSOUYA
Plateau-Central,Boudry,PLATEAU CENTRAL,BOUDRY,BOUDRY
Plateau-Central,Boussé,PLATEAU CENTRAL,BOUSSE,BOUSSE
Plateau-Central,Dapélogo,PLATEAU CENTRAL,DAPELOGO,DAPELOGO
Plateau-Central,Kogho,PLATEAU CENTRAL,KOGHO,KOGHO
Plateau-Central,Laye,PLATEAU CENTRAL,LAYE,LAYE
Plateau-Central,Loumbila,PLATEAU CENTRAL,LOUMBILA,LOUMBILA
Plateau-Central,Méguet,PLATEAU CENTRAL,MEGUET,MEGUET
Plateau-Central,Mogtédo,PLATEAU CENTRAL,MOGTEDO,MOGTEDO
Plateau-Central,Nagreongo,PLATEAU CENTRAL,NAGREONGO,NAGREONGO
Plateau-Central,Niou,PLATEAU CENTRAL,NIOU,NIOU
Plateau-Central,Ourgou-Manega,PLATEAU CENTRAL,OURGOU-MANEGA,OURGOU-MANEGA
Plateau-Central,Salogo,PLATEAU CENTRAL,SALOGO,SALOGO
Plateau-Central,Sourgoubila,PLATEAU CENTRAL,SOURGOUBILA,SOURGOUBILA
Plateau-Central,Toéghin,PLATEAU CENTRAL,TOEGHIN,TOEGHIN
Plateau-Central,Zam,PLATEAU CENTRAL,ZAM,ZAM
Plateau-Central,Ziniare,PLATEAU CENTRAL,ZINIARE,ZINIARE
Plateau-Central,Zitenga,PLATEAU CENTRAL,ZITENGA,ZITENGA
Plateau-Central,Zorgho,PLATEAU CENTRAL,ZORGHO,ZORGHO
Plateau-Central,Zoungou,PLATEAU CENTRAL,ZOUNGOU,ZOUNGOU
Sahel,Aribinda,SAHEL,ARBINDA,ARBINDA
Sahel,Bani,SAHEL,BANI,BANI
Sahel,Baraboule,SAHEL,BARABOULE,BARABOULE
Sahel,Boundore,SAHEL,BOUNDORE,BOUNDORE
Sahel,Deou,SAHEL,DEOU,DEOU
Sahel,Diguel,SAHEL,DIGUEL,DIGUEL
Sahel,Djibo,SAHEL,DJIBO,DJIBO
Sahel,Dori,SAHEL,DORI,DORI
Sahel,Falagountou,SAHEL,FALAGOUNTOU,FALAGOUNTOU
Sahel,Gorgadji,SAHEL,GORGADJI,GORGADJI
Sahel,Gorom-Gorom,SAHEL,GOROM-GOROM,GOROM -GOROM
Sahel,Kelbo,SAHEL,KELBO,KELBO
Sahel,Koutougou,SAHEL,KOUTOUGOU,KOUTOUGOU
Sahel,Mansila,SAHEL,MANSILA,MANSILA
Sahel,Markoye,SAHEL,MARKOYE,MARKOYE
Sahel,Nassoumbou,SAHEL,NASSOUMBOU,NASSOUMBOU
Sahel,Oursi,SAHEL,OURSI,OURSI
Sahel,Pobe-Mengao,SAHEL,POBE-MENGAO,POBE-MENGAO
Sahel,Sampelga,SAHEL,SAMPELGA,SAMPELGA
Sahel,Sebba,SAHEL,SEBBA,SEBBA
Sahel,Seytenga,SAHEL,SEYTENGA,SEYTENGA
Sahel,Solhan,SAHEL,SOLHAN,SOLHAN
Sahel,Tankougounadie,SAHEL,TANKOUGOUNADIE,TANKOUGOUNADIE
Sahel,Tin-Akoff,SAHEL,TIN-AKOFF,TIN-AKOFF
Sahel,Titabe,SAHEL,TITABE,TITABE
Sahel,Tongomayel,SAHEL,TONGOMAYEL,TONGOMAYEL
Sud-Ouest,Batié,SUD-OUEST,BATIE,BATIE
Sud-Ouest,Bondigui,SUD-OUEST,BONDIGUI,BONDIGUI
Sud-Ouest,Bouroum-Bouroum,SUD-OUEST,BOUROUM-BOUROUM,BOUROUM-BOUROUM
Sud-Ouest,Boussera,SUD-OUEST,BOUSSERA,BOUSSERA
Sud-Ouest,Boussoukoula,SUD-OUEST,BOUSSOUKOULA,BOUSSOUKOULA
Sud-Ouest,Dano,SUD-OUEST,DANO,DANO
Sud-Ouest,Diebougou,SUD-OUEST,DIEBOUGOU,DIEBOUGOU
Sud-Ouest,Dissin,SUD-OUEST,DISSIN,DISSIN
Sud-Ouest,Djigouè,SUD-OUEST,DJIGOUE,DJIGOUE
Sud-Ouest,Dolo,SUD-OUEST,DOLO,DOLO
Sud-Ouest,Gaoua,SUD-OUEST,GAOUA,GAOUA
Sud-Ouest,Gbomblora,SUD-OUEST,GBOMBLORA,GBOMBLORA
Sud-Ouest,Gueguere,SUD-OUEST,GUEGUERE,GUEGUERE
Sud-Ouest,Iolonioro,SUD-OUEST,IOLONIORO,IOLONIORO
Sud-Ouest,Kampti,SUD-OUEST,KAMPTI,KAMPTI
Sud-Ouest,Koper,SUD-OUEST,KOPER,KOPER
Sud-Ouest,Kpuéré,SUD-OUEST,KPUERE,KPUERE
Sud-Ouest,Legmoin,SUD-OUEST,LEGMOIN,LEGMOIN
Sud-Ouest,Loropeni,SUD-OUEST,LOROPENI,LOROPENI
Sud-Ouest,Malba,SUD-OUEST,MALBA,MALBA
Sud-Ouest,Midebdo,SUD-OUEST,MIDEBDO,MIDEBDO
Sud-Ouest,Nako,SUD-OUEST,NAKO,NAKO
Sud-Ouest,Niego,SUD-OUEST,NIEGO,NIEGO
Sud-Ouest,Oronkua,SUD-OUEST,ORONKUA,ORONKUA
Sud-Ouest,Ouessa,SUD-OUEST,OUESSA,OUESSA
Sud-Ouest,Perigban,SUD-OUEST,PERIGBAN,PERIGBAN
Sud-Ouest,Tiankoura,SUD-OUEST,TIANKOURA,TIANKOURA
Sud-Ouest,Zambo,SUD-OUEST,ZAMBO,ZAMBO
